학번,이름,이메일,폰번호,보호자폰번호
21102,이지수,s21102@sungui.hs.kr,010-1692-9105,010-1043-3752
21103,문채은,s21103@sungui.hs.kr,010-9105-8344,010-3752-6947
21104,홍수아,s21104@sungui.hs.kr,010-8344-7520,010-6947-5164
21105,류하준,s21105@sungui.hs.kr,010-7520-2448,010-5164-2433
21106,정다은,s21106@sungui.hs.kr,010-2448-8139,010-2433-5434
21107,전건우,s21107@sungui.hs.kr,010-8139-3878,010-5434-3510
21108,윤서연,s21108@sungui.hs.kr,010-3878-5460,010-3510-1443
21109,서예준,s21109@sungui.hs.kr,010-5460-1807,010-1443-3525
21110,박주원,s21110@sungui.hs.kr,010-1807-2278,010-3525-3547
21201,최현우,s21201@sungui.hs.kr,010-2278-3215,010-3547-3928
21202,조다현,s21202@sungui.hs.kr,010-3215-9508,010-3928-9580
21203,양시우,s21203@sungui.hs.kr,010-9508-2112,010-9580-2616
21204,최예은,s21204@sungui.hs.kr,010-2112-9029,010-2616-1498
21205,문수민,s21205@sungui.hs.kr,010-9029-9904,010-1498-9154
21206,손다은,s21206@sungui.hs.kr,010-9904-8113,010-9154-5747
21207,전건우,s21207@sungui.hs.kr,010-8113-3770,010-5747-1055
21208,윤우진,s21208@sungui.hs.kr,010-3770-4043,010-1055-6941
21209,장건우,s21209@sungui.hs.kr,010-4043-3864,010-6941-5638
21210,윤서진,s21210@sungui.hs.kr,010-3864-4958,010-5638-3468
21301,한시우,s21301@sungui.hs.kr,010-4958-2003,010-3468-9659
21302,박지수,s21302@sungui.hs.kr,010-2003-9247,010-9659-8496
21303,문시우,s21303@sungui.hs.kr,010-9247-1964,010-8496-4812
21304,박지훈,s21304@sungui.hs.kr,010-1964-3614,010-4812-1187
21305,윤서현,s21305@sungui.hs.kr,010-3614-6172,010-1187-2574
21306,권서준,s21306@sungui.hs.kr,010-6172-1304,010-2574-2733
21307,김현준,s21307@sungui.hs.kr,010-1304-4476,010-2733-5843
21308,임서현,s21308@sungui.hs.kr,010-4476-5967,010-5843-6189
21309,신도현,s21309@sungui.hs.kr,010-5967-3431,010-6189-3897
21310,조예린,s21310@sungui.hs.kr,010-3431-9659,010-3897-7724
21401,손다은,s21401@sungui.hs.kr,010-9659-8091,010-7724-1196
21402,전다은,s21402@sungui.hs.kr,010-8091-8018,010-1196-8839
21403,전윤서,s21403@sungui.hs.kr,010-8018-7055,010-8839-3983
21404,안민준,s21404@sungui.hs.kr,010-7055-1103,010-3983-5232
21405,김예린,s21405@sungui.hs.kr,010-1103-9584,010-5232-9623
21406,양선우,s21406@sungui.hs.kr,010-9584-4679,010-9623-4432
21407,한민지,s21407@sungui.hs.kr,010-4679-6304,010-4432-9536
21408,권현우,s21408@sungui.hs.kr,010-6304-3073,010-9536-8736
21409,강은서,s21409@sungui.hs.kr,010-3073-8677,010-8736-6297
21410,고윤서,s21410@sungui.hs.kr,010-8677-7052,010-6297-7390
21501,안현준,s21501@sungui.hs.kr,010-7052-4512,010-7390-6498
21502,임서윤,s21502@sungui.hs.kr,010-4512-5511,010-6498-9942
21503,서지아,s21503@sungui.hs.kr,010-5511-7542,010-9942-8583
21504,류주원,s21504@sungui.hs.kr,010-7542-2330,010-8583-5639
21505,최하준,s21505@sungui.hs.kr,010-2330-2467,010-5639-3223
21506,정채은,s21506@sungui.hs.kr,010-2467-8202,010-3223-9889
21507,홍예린,s21507@sungui.hs.kr,010-8202-9570,010-9889-3805
21508,양민서,s21508@sungui.hs.kr,010-9570-5201,010-3805-6122
21509,오예린,s21509@sungui.hs.kr,010-5201-9768,010-6122-2832
21510,손지우,s21510@sungui.hs.kr,010-9768-5814,010-2832-2545
21601,신서준,s21601@sungui.hs.kr,010-5814-1302,010-2545-8520
21602,김서준,s21602@sungui.hs.kr,010-1302-1407,010-8520-2132
21603,이지호,s21603@sungui.hs.kr,010-1407-2590,010-2132-9076
21604,정다은,s21604@sungui.hs.kr,010-2590-8131,010-9076-3413
21605,전현우,s21605@sungui.hs.kr,010-8131-3138,010-3413-1290
21606,강예준,s21606@sungui.hs.kr,010-3138-1841,010-1290-9150
21607,박서윤,s21607@sungui.hs.kr,010-1841-5596,010-9150-7326
21608,서민재,s21608@sungui.hs.kr,010-5596-4185,010-7326-7883
21609,장지우,s21609@sungui.hs.kr,010-4185-5864,010-7883-1495
21610,신서윤,s21610@sungui.hs.kr,010-5864-5633,010-1495-2280
21701,서유진,s21701@sungui.hs.kr,010-5633-8494,010-2280-8215
21702,홍현준,s21702@sungui.hs.kr,010-8494-4377,010-8215-2730
21703,임다현,s21703@sungui.hs.kr,010-4377-9367,010-2730-4930
21704,양서준,s21704@sungui.hs.kr,010-9367-1349,010-4930-8564
21705,김준서,s21705@sungui.hs.kr,010-1349-2906,010-8564-3729
21706,강하준,s21706@sungui.hs.kr,010-2906-2560,010-3729-1263
21707,정건우,s21707@sungui.hs.kr,010-2560-3713,010-1263-2781
21708,윤수민,s21708@sungui.hs.kr,010-3713-9854,010-2781-5546
21709,손민서,s21709@sungui.hs.kr,010-9854-5121,010-5546-1278
21710,오민지,s21710@sungui.hs.kr,010-5121-6202,010-1278-6692
30101,권지수,s30101@sungui.hs.kr,010-6202-9122,010-6692-6530
30102,문민서,s30102@sungui.hs.kr,010-9122-5087,010-6530-2050
30103,오예은,s30103@sungui.hs.kr,010-5087-9045,010-2050-4620
30104,문수민,s30104@sungui.hs.kr,010-9045-9830,010-4620-4102
30105,손시우,s30105@sungui.hs.kr,010-9830-2075,010-4102-1439
30106,박다현,s30106@sungui.hs.kr,010-2075-9326,010-1439-3283
30107,양민재,s30107@sungui.hs.kr,010-9326-4261,010-3283-8859
30108,임서진,s30108@sungui.hs.kr,010-4261-5033,010-8859-8632
30109,오하윤,s30109@sungui.hs.kr,010-5033-6688,010-8632-1167
30110,황채원,s30110@sungui.hs.kr,010-6688-7223,010-1167-6887
30201,송민재,s30201@sungui.hs.kr,010-7223-4221,010-6887-4411
30202,장현우,s30202@sungui.hs.kr,010-4221-3195,010-4411-8401
30203,조수민,s30203@sungui.hs.kr,010-3195-9804,010-8401-7630
30204,손수아,s30204@sungui.hs.kr,010-9804-7428,010-7630-9038
30205,송수민,s30205@sungui.hs.kr,010-7428-9937,010-9038-3310
30206,손현우,s30206@sungui.hs.kr,010-9937-3104,010-3310-5265
30207,강지아,s30207@sungui.hs.kr,010-3104-7585,010-5265-8254
30208,류유진,s30208@sungui.hs.kr,010-7585-8541,010-8254-8653
30209,홍예린,s30209@sungui.hs.kr,010-8541-9712,010-8653-9152
30210,손채은,s30210@sungui.hs.kr,010-9712-8406,010-9152-2980
30301,홍건우,s30301@sungui.hs.kr,010-8406-3824,010-2980-2801
30302,윤수아,s30302@sungui.hs.kr,010-3824-7351,010-2801-3084
30303,송예준,s30303@sungui.hs.kr,010-7351-1826,010-3084-4450
30304,박우진,s30304@sungui.hs.kr,010-1826-3996,010-4450-6385
30305,장은서,s30305@sungui.hs.kr,010-3996-8779,010-6385-9224
30306,고수민,s30306@sungui.hs.kr,010-8779-9861,010-9224-6269
30307,손서진,s30307@sungui.hs.kr,010-9861-5039,010-6269-1668
30308,오현우,s30308@sungui.hs.kr,010-5039-3192,010-1668-6117
30309,조민재,s30309@sungui.hs.kr,010-3192-4335,010-6117-6218
30310,임다현,s30310@sungui.hs.kr,010-4335-9468,010-6218-4091
30401,양예은,s30401@sungui.hs.kr,010-9468-8965,010-4091-2638
30402,문다은,s30402@sungui.hs.kr,010-8965-8196,010-2638-3397
30403,전주원,s30403@sungui.hs.kr,010-8196-2299,010-3397-3577
30404,최다현,s30404@sungui.hs.kr,010-2299-9398,010-3577-6160
30405,양지민,s30405@sungui.hs.kr,010-9398-7881,010-6160-1054
